,,cost,cost,cost,cost,time,time,time,time,bb_time,heuristic_time,nodes_explored,nodes_explored,nodes_explored,optimal,optimal,heuristic_calls,heuristic_improvements,heuristic_efficiency
,,mean,min,std,count,mean,min,max,std,mean,mean,mean,min,max,sum,count,mean,mean,mean
filename,combination,,,,,,,,,,,,,,,,,,
scp46.txt,hybrid_df_bf_none,inf,inf,,1,120.0312,120.0312,120.0312,,120.0312,0.0,3304.0,3304,3304,0,1,0.0,0.0,0.0
scp46.txt,most_fractional_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp46.txt,most_fractional_basic,615.0,615.0,,1,120.0141,120.0141,120.0141,,119.7501,0.264,3251.0,3251,3251,0,1,16.0,0.0,0.0
scp46.txt,most_fractional_intermediate,583.0,583.0,,1,120.0036,120.0036,120.0036,,87.8742,32.1294,2438.0,2438,2438,0,1,16.0,2.0,0.125
scp46.txt,most_fractional_none,inf,inf,,1,120.02,120.02,120.02,,120.02,0.0,3322.0,3322,3322,0,1,0.0,0.0,0.0
scp47.txt,best_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp47.txt,best_first_basic,430.0,430.0,,1,0.276,0.276,0.276,,0.035,0.241,1.0,1,1,1,1,3.0,0.0,0.0
scp47.txt,best_first_intermediate,430.0,430.0,,1,28.718,28.718,28.718,,0.035,28.683,1.0,1,1,1,1,4.0,1.0,0.25
scp47.txt,best_first_none,430.0,430.0,,1,0.035,0.035,0.035,,0.035,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp47.txt,breadth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp47.txt,breadth_first_basic,430.0,430.0,,1,0.3036,0.3036,0.3036,,0.035,0.2686,1.0,1,1,1,1,3.0,0.0,0.0
scp47.txt,breadth_first_intermediate,430.0,430.0,,1,26.9251,26.9251,26.9251,,0.034,26.8911,1.0,1,1,1,1,4.0,1.0,0.25
scp47.txt,breadth_first_none,430.0,430.0,,1,0.039,0.039,0.039,,0.039,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp47.txt,depth_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp47.txt,depth_first_basic,430.0,430.0,,1,0.317,0.317,0.317,,0.035,0.282,1.0,1,1,1,1,3.0,0.0,0.0
scp47.txt,depth_first_intermediate,430.0,430.0,,1,27.4487,27.4487,27.4487,,0.036,27.4127,1.0,1,1,1,1,4.0,1.0,0.25
scp47.txt,depth_first_none,430.0,430.0,,1,0.038,0.038,0.038,,0.038,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp47.txt,hybrid_df_bf_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp47.txt,hybrid_df_bf_basic,430.0,430.0,,1,0.299,0.299,0.299,,0.034,0.265,1.0,1,1,1,1,3.0,0.0,0.0
scp47.txt,hybrid_df_bf_intermediate,430.0,430.0,,1,26.0695,26.0695,26.0695,,0.036,26.0335,1.0,1,1,1,1,4.0,1.0,0.25
scp47.txt,hybrid_df_bf_none,430.0,430.0,,1,0.035,0.035,0.035,,0.035,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp47.txt,most_fractional_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp47.txt,most_fractional_basic,430.0,430.0,,1,0.322,0.322,0.322,,0.034,0.288,1.0,1,1,1,1,3.0,0.0,0.0
scp47.txt,most_fractional_intermediate,430.0,430.0,,1,27.0398,27.0398,27.0398,,0.038,27.0018,1.0,1,1,1,1,4.0,1.0,0.25
scp47.txt,most_fractional_none,430.0,430.0,,1,0.036,0.036,0.036,,0.036,0.0,1.0,1,1,1,1,0.0,0.0,0.0
scp48.txt,best_first_advanced,inf,inf,,1,120.0,120.0,120.0,,120.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0
scp48.txt,best_first_basic,533.0,533.0,,1,120.0324,120.0324,120.0324,,119.4944,0.538,2731.0,2731,2731,0,1,14.0,0.0,0.0
scp48.txt,best_first_intermediate,508.0,508.0,,1,120.0248,120.0248,120.0248,,91.622,28.4028,2070.0,2070,2070,0,1,14.0,2.0,0.1429
